  -10.63    -3.91    27.69     2.32    -8.17    -6.15    -2.45   -10.30    -5.62     7.98     5.32     1.35    -4.56
   12.56   -19.50     4.39     1.53    -3.55   -15.97    -9.16     4.88     5.72     1.58    -3.41    -1.85     2.55
    4.19   -12.30   -22.25    -6.14     7.47    12.42     6.47    -3.35   -10.22     8.19     5.50    11.08    -2.19
   -6.38   -18.36    -6.67    -1.42    -3.67    13.01     3.23    -7.46    -3.01    -4.39    -3.40    -1.06     8.25
  -16.33     0.41     1.56   -10.51     9.37    -3.81    -5.21    -2.16    -6.41    -8.93    -8.05     3.81     2.76
  -11.89    11.87    -8.67    -3.05    -0.24    -6.60    -6.88    -4.65    12.98    -9.47     1.90    -0.16    -3.45
   -8.97    -6.94    22.70     0.52    -1.78     0.64    11.31    -6.08    -5.09    -2.63     3.79     5.49    -1.71
   22.71    -1.57    -6.91   -19.25     0.69     1.90    -1.77   -12.63   -14.81     4.95     5.51    -3.65    -7.85
   -0.90    -0.95     7.04    -7.11    -1.75   -11.91   -16.96    -2.74    -3.72    -4.14     5.95    -4.35     3.71
   -6.92     5.48   -23.00   -18.52     3.97    -1.02    12.43    13.95     0.34     2.58    -3.56    -2.82    -6.79
   22.09    -3.11    -0.89     0.86    -4.97     0.98     4.47    -3.59     4.10    -8.20     1.30    -4.40    12.52
   28.30    -1.34    -3.42   -10.02     9.17    -0.64     0.34    -2.70    -6.48    -4.44     1.24    -9.87    -3.22
    9.46   -18.27    14.43    -3.21     1.28    -4.47     0.69    -6.38     3.16     8.12    -4.21     5.76     8.10
   13.85     1.84    11.19   -12.78     7.36    10.44    -0.30     0.03    -4.85    -1.82    -2.86     9.15    -0.91
   -1.83    -1.02   -22.44   -22.48     4.43     1.87    -3.24     0.36     0.44    14.53     6.61    -7.58    -6.13
    1.98    -2.77   -17.01   -25.89    10.49    -8.39    -2.73    11.55     4.37    -3.33    -4.10    -4.09    -6.70
   24.52    10.27    -0.45    -9.46    -2.23   -10.72     6.65    -7.76   -11.80     7.92    -2.54     1.34     0.39
    3.21   -23.66     9.82   -12.30     2.12    -7.32     3.46    -1.58     0.65    -1.79    -1.26     5.70     3.58
  -17.79    -0.37     0.71    -8.41     2.15    -2.08    -3.38     7.47   -10.13     1.06     2.04     1.35     8.56
    8.43   -16.43    10.17   -22.49    -4.90    -3.97     0.55     0.58    -2.49    -1.02    -1.76     2.91    -4.93
   -6.47     2.00     3.77    -5.63     5.19     3.59    -7.69     8.45     2.03    -5.78   -12.54    -0.64     2.69
  -14.40    11.20     6.43   -16.43     5.51    -2.19     6.21    -9.17    12.46    -0.18    -4.38     8.85    -1.67
  -11.16     5.81   -13.14     0.54    -6.96   -16.21     1.57    -0.48    -2.58    -1.00    -6.08     7.75     2.54
  -13.59    -5.10    10.22     2.62    -1.94     7.22    17.35     7.54     6.83     1.33    -1.58    -6.12     3.24
   -4.27     6.59     1.08    14.24    17.92    -1.50    -2.70     5.50   -12.48    -5.24     0.35    -1.73     1.33
   -2.29   -12.26   -20.21     8.25    -2.33    14.05     4.99     4.41     1.82    -3.16    -4.08     4.46     2.54
   18.02    -8.73    -4.62     6.88     0.76     7.84     0.30   -10.84    14.53    -9.95     5.18    -2.39     4.63
  -22.78     2.87     2.70    -6.42     4.64     4.74    -3.57    -9.51    -6.23     3.93    -0.36    -0.66     7.00
  -11.70    -3.70     9.18    -4.52     4.21     0.41    21.14     6.90     8.52   -11.99    -5.50    -5.14    -3.75
